Sections:;Subsection:;Number:;Question:;Answer:
Notes;Notes;1;How do you think making notes during the tutorial will benefit you?;No answer given. Personal statement from the student. The student gives a short statement of why taking notes is beneficial (or not) when doing a tutorial.
Preparation;OPNSense;2;What is a hashsum?;A hash is a value that is calculated from the file. It is used to verify data authenticity. If a hash is calculated on a file, it will never change unless the file is changed. If the values do not match, check if you did it correct. 
Preparation;OPNSense;3;Did your hash values match?;In Windows: Start and CMD or PowerShell prompt and use the command: \cmd{certutil -hashfile <NAME OF YOUR FILE> In Ubuntu: Start your terminal and use the following command: \cmd{sha256sum <NAME OF YOUR FILE>}
Preparation;Create a virtual network in Vmware;4;Why do you create a virtual network?;If this were a physical lab, you would have used switches, cables, and other network devices to create a physical network, to make the clients talk to each other. When it is done virtualized, you need the same, but the virtual network is emulating those physical devices in your network. Another reason is that you are now segregating the network from your original host network.
Preparation;The first configuration of the firewall;5;What does the \cmd{em} in the network card stand for?;em references to the manufacturer of the network adapter. em = intel and for example bge = broadcom
Preparation;The first configuration of the firewall;6;Why did you remove the checkmark for RFC1918 Networks?;Since the IP's you are using are private IP's you need to remove the checkmark. If you do not remove it, IP's that are private cannot be used. \url{https://tools.ietf.org/html/rfc1918}.
Preparation;The first configuration of the firewall;7;Can you ping your firewall from your client?;Use the ping command. \cmd{ping 192.168.20.1}. On Linux, use \cmd{CTRL + C} to stop the ping command or use the \cmd(-c 3) to limit the amount of ping sent to three (3).
General Administration;Login up SSH with no password;8;What is key-size?;Key-size is the lengt of bits that is used by the algorithm when generating cryptographic keys.
General Administration;Login up SSH with no password;9;What is the difference between a private key and a public key?;Private key is your key and must be keept secret. The public key is the key that can be shared and given to for example a server that you want to login to.
General Administration;Password Reset;10;What does the \cmd{Password protect the console menu} checkbox in \cmd{System -> Settings -> Administration} in the web GUI do?;It makes it impossible to change the password, without having physical access to the firewall.
General Administration;Ping;11;Try to ping your client. Do you get something similar to figure \ref{opensense:admin_ping}?;Answered in the section. See figure \ref{opensense:admin_ping}
Firewall Rules;Firewall rules;12;Why do you think the action \cmd{Reject} is mostly used on so-called friendly networks?;To save time for the client that is trying to connect, it is important that the client knows that the request is blocket. This can save time for thrubleshooting.
Firewall Rules;Creating the first rule;13;Try now to \cmd{PING} the same website as you did in bullet point 4. What is happening?;If it is done correct, you are not able to ping any web sites.
Firewall Rules;Creating the first rule;14;How can you disable the rule that was created?;By cliking on the red cross in the overview of the fierwall rules.
Firewall Rules;Creating the first rule;15;Are you able to ping any website when the rule is disabled?;Yes
Firewall Rules;Logging;16;Do you see any evidence in the log when the rule that was created earlier is active?;It should be possible to see somting like figure \ref{opnsense:logging_blocked_internet_access} in the log.
Firewall Rules;Second rule;17;How can you test if this is working?;See \ref{python_server}
Firewall Rules;Second rule;18;Play around and try to create other rules.;
Firewall Rules;Time-based rules;19;Where in the rule editor page can you add the time-based rule?;When the time-based rules is created, it is possible to choose it under the \cmd{Schedule} options almost at the bottom of the rule edit page.
Firewall Rules;Time-based rules;20;Try to create a schedule and add it to a rule that blocks access to \cmd{www.nrk.no} inside the normal working hours (08.00 - 16.00).;
Firewall Rules;GeoIP;21;Can you create a firewall rule that uses the alias you created to block one country?;
Firewall Rules;GeoIP;22;How can you test if the previous create rule is working?;
